value,mountain,date
24.23,Berthoud.Pass,1979
21.65,Berthoud.Pass,2018
17.56,Crested_Butte,1981
13.98,Crested_Butte,2018
18.29,Purgatory,1979
10.96,Purgatory,2018
20.54,Breckenridge,1981
20.85,Breckenridge,2018
18.82,Loveland,1978
19.56,Loveland,2018
19.31,Aspen,1978
17.54,Aspen,2018
27.08,Jackson Hole,1987
30.4,Jackson Hole,2018
13.49,Eldora,1980
13.75,Eldora,2018
18.67,Snowmass,1984
17.41,Snowmass,2018
37.46,Powderhorn,1980
23.76,Powderhorn,2018
18.82,Monarch,1979
15.84,Monarch,2018
31.42,Telluride,1981
22.26,Telluride,2018
46.71,Snowbird,1990
44.41,Snowbird,2018
64.06,Squaw,1981
47.92,Squaw,2018
57.22,Steamboat,1980
44.51,Steamboat,2018
29.69,Vail,1979
19.19,Vail,2018
37.49,Wolf_Creek,1987
29.6,Wolf_Creek,2018